Date,Product,Sales,Inventory
2026-03-01,Laptop,70,220
2026-03-02,Laptop,55,220
2026-03-03,Laptop,61,220
2026-03-04,Laptop,67,220
2026-03-05,Laptop,56,220
2026-03-06,Laptop,56,220
2026-03-07,Laptop,81,220
2026-03-08,Laptop,76,220
2026-03-09,Laptop,56,220
2026-03-10,Laptop,64,220
2026-03-11,Laptop,57,220
2026-03-12,Laptop,57,220
2026-03-13,Laptop,63,220
2026-03-14,Laptop,60,220
2026-03-15,Laptop,62,220
2026-03-16,Laptop,58,220
2026-03-17,Laptop,56,220
2026-03-18,Laptop,65,220
2026-03-19,Laptop,57,220
2026-03-20,Laptop,54,220
2026-03-21,Laptop,86,220
2026-03-22,Laptop,75,220
2026-03-23,Laptop,65,220
2026-03-24,Laptop,55,220
2026-03-25,Laptop,61,220
2026-03-26,Laptop,66,220
2026-03-27,Laptop,57,220
2026-03-28,Laptop,80,220
2026-03-29,Laptop,74,220
2026-03-30,Laptop,64,220
2026-03-31,Laptop,62,220
2026-04-01,Laptop,79,220
2026-04-02,Laptop,66,220
2026-04-03,Laptop,59,220
2026-04-04,Laptop,84,220
2026-04-05,Laptop,69,220
2026-04-06,Laptop,67,220
2026-04-07,Laptop,52,220
2026-04-08,Laptop,56,220
2026-04-09,Laptop,67,220
2026-04-10,Laptop,71,220
2026-04-11,Laptop,78,220
2026-04-12,Laptop,76,220
2026-04-13,Laptop,63,220
2026-04-14,Laptop,54,220
2026-04-15,Laptop,59,220
2026-04-16,Laptop,61,220
2026-04-17,Laptop,71,220
2026-04-18,Laptop,78,220
2026-04-19,Laptop,63,220
2026-04-20,Laptop,65,220
2026-04-21,Laptop,60,220
2026-04-22,Laptop,57,220
2026-04-23,Laptop,66,220
2026-04-24,Laptop,69,220
2026-04-25,Laptop,80,220
2026-04-26,Laptop,67,220
2026-04-27,Laptop,58,220
2026-04-28,Laptop,62,220
2026-04-29,Laptop,67,220
2026-04-30,Laptop,56,220
2026-05-01,Laptop,58,220
2026-05-02,Laptop,63,220
2026-05-03,Laptop,62,220
2026-05-04,Laptop,64,220
2026-05-05,Laptop,67,220
2026-05-06,Laptop,57,220
2026-05-07,Laptop,64,220
2026-05-08,Laptop,60,220
2026-05-09,Laptop,64,220
2026-05-10,Laptop,71,220
2026-05-11,Laptop,67,220
2026-05-12,Laptop,56,220
2026-05-13,Laptop,67,220
2026-05-14,Laptop,37,220
2026-05-15,Laptop,61,220
2026-05-16,Laptop,68,220
2026-05-17,Laptop,65,220
2026-05-18,Laptop,56,220
2026-05-19,Laptop,41,220
2026-05-20,Laptop,54,220
2026-05-21,Laptop,58,220
2026-05-22,Laptop,66,220
2026-05-23,Laptop,64,220
2026-05-24,Laptop,62,220
2026-05-25,Laptop,52,220
2026-05-26,Laptop,62,220
2026-05-27,Laptop,58,220
2026-05-28,Laptop,52,220
2026-05-29,Laptop,60,220
2026-05-30,Laptop,69,220
2026-05-31,Laptop,75,220
2026-06-01,Laptop,52,220
2026-06-02,Laptop,55,220
2026-06-03,Laptop,55,220
2026-06-04,Laptop,48,220
2026-06-05,Laptop,60,220
2026-06-06,Laptop,72,220
2026-06-07,Laptop,71,220
2026-06-08,Laptop,58,220
2026-06-09,Laptop,50,220
2026-06-10,Laptop,57,220
2026-06-11,Laptop,58,220
2026-06-12,Laptop,55,220
2026-06-13,Laptop,72,220
2026-06-14,Laptop,77,220
2026-06-15,Laptop,76,220
2026-06-16,Laptop,64,220
2026-06-17,Laptop,65,220
2026-06-18,Laptop,64,220
2026-06-19,Laptop,51,220
2026-06-20,Laptop,77,220
2026-06-21,Laptop,78,220
2026-06-22,Laptop,83,220
2026-06-23,Laptop,65,220
2026-06-24,Laptop,69,220
2026-06-25,Laptop,68,220
2026-06-26,Laptop,60,220
2026-06-27,Laptop,89,220
2026-06-28,Laptop,87,220
2026-06-29,Laptop,76,220
2026-06-30,Laptop,64,220
2026-07-01,Laptop,81,220
2026-07-02,Laptop,62,220
2026-07-03,Laptop,76,220
2026-07-04,Laptop,100,220
2026-07-05,Laptop,78,220
2026-07-06,Laptop,69,220
2026-07-07,Laptop,74,220
2026-07-08,Laptop,71,220
2026-07-09,Laptop,64,220
2026-07-10,Laptop,75,220
2026-07-11,Laptop,80,220
2026-07-12,Laptop,91,220
2026-07-13,Laptop,69,220
2026-07-14,Laptop,87,220
2026-07-15,Laptop,71,220
2026-07-16,Laptop,74,220
2026-07-17,Laptop,82,220
2026-07-18,Laptop,80,220
2026-07-19,Laptop,91,220
2026-07-20,Laptop,86,220
2026-07-21,Laptop,66,220
2026-07-22,Laptop,79,220
2026-07-23,Laptop,79,220
2026-07-24,Laptop,83,220
2026-07-25,Laptop,81,220
2026-07-26,Laptop,80,220
2026-07-27,Laptop,81,220
2026-07-28,Laptop,79,220
2026-07-29,Laptop,79,220
2026-07-30,Laptop,79,220
2026-07-31,Laptop,72,220
2026-08-01,Laptop,90,220
2026-08-02,Laptop,91,220
2026-08-03,Laptop,71,220
2026-08-04,Laptop,89,220
2026-08-05,Laptop,79,220
2026-08-06,Laptop,67,220
2026-08-07,Laptop,80,220
2026-08-08,Laptop,80,220
2026-08-09,Laptop,92,220
2026-08-10,Laptop,83,220
2026-08-11,Laptop,68,220
2026-08-12,Laptop,81,220
2026-08-13,Laptop,76,220
2026-08-14,Laptop,79,220
2026-08-15,Laptop,98,220
2026-08-16,Laptop,83,220
2026-08-17,Laptop,67,220
2026-08-18,Laptop,66,220
2026-08-19,Laptop,66,220
2026-08-20,Laptop,71,220
2026-08-21,Laptop,73,220
2026-08-22,Laptop,84,220
2026-08-23,Laptop,88,220
2026-08-24,Laptop,70,220
2026-08-25,Laptop,80,220
2026-08-26,Laptop,67,220
2026-08-27,Laptop,88,220
2026-03-01,Smartphone,106,500
2026-03-02,Smartphone,85,500
2026-03-03,Smartphone,84,500
2026-03-04,Smartphone,95,500
2026-03-05,Smartphone,91,500
2026-03-06,Smartphone,98,500
2026-03-07,Smartphone,108,500
2026-03-08,Smartphone,105,500
